"2011 census frozen ward","mnemonic","Total","Male","Female"
"Coombe Vale","E36007436",80,45,35
"Grove","E36007437",190,100,90
"Norbiton","E36007438",260,150,110
"Old Malden","E36007439",115,65,45
"St James","E36007440",105,60,45
"St Mark's","E36007441",150,100,50
"Surbiton Hill","E36007442",120,55,65
"Tolworth and Hook Rise","E36007443",140,70,70
"Tudor","E36007444",65,30,35
"Abbey","E36007484",135,65,70
"Cannon Hill","E36007485",90,45,50
"Colliers Wood","E36007486",170,100,70
"Cricket Green","E36007487",400,220,180
"Dundonald","E36007488",65,30,30
"Figge's Marsh","E36007489",370,195,175
"Graveney","E36007490",210,145,65
"Hillside","E36007491",75,40,35
"Lavender Fields","E36007492",275,135,135
"Longthornton","E36007493",250,145,105
"Lower Morden","E36007494",95,55,40
"Merton Park","E36007495",75,50,25
"Pollards Hill","E36007496",335,175,160
"Ravensbury","E36007497",240,140,100
"Raynes Park","E36007498",100,45,55
"St Helier","E36007499",225,120,105
"Trinity","E36007500",130,90,40
"Village","E36007501",40,30,10
"West Barnes","E36007502",90,50,40
"Wimbledon Park","E36007503",115,55,60
"Aldborough","E36007524",185,95,90
"Barkingside","E36007525",140,70,70
"Bridge","E36007526",140,80,60
"Chadwell","E36007527",300,175,125
"Church End","E36007528",95,55,40
"Clayhall","E36007529",135,75,65
"Clementswood","E36007530",365,220,145
"Cranbrook","E36007531",205,120,85
"Fairlop","E36007532",190,85,105
"Fullwell","E36007533",215,110,110
"Goodmayes","E36007534",305,160,145
"Hainault","E36007535",245,135,115
"Loxford","E36007536",420,205,215
"Mayfield","E36007537",250,120,130
"Monkhams","E36007538",55,30,25
"Newbury","E36007539",300,160,135
"Roding","E36007540",170,95,70
"Seven Kings","E36007541",325,180,145
"Snaresbrook","E36007542",100,50,50
"Valentines","E36007543",345,195,150
"Wanstead","E36007544",120,75,45
"Barnes","E36007545",100,50,50
"East Sheen","E36007546",70,45,25
"Fulwell and Hampton Hill","E36007547",100,50,50
"Ham, Petersham and Richmond Riverside","E36007548",135,70,65
"Hampton","E36007549",95,50,40
"Hampton North","E36007550",185,95,90
"Hampton Wick","E36007551",105,60,45
"Heathfield","E36007552",230,120,110
"Kew","E36007553",115,65,50
"Mortlake and Barnes Common","E36007554",135,70,65
"North Richmond","E36007555",130,70,65
"South Richmond","E36007556",120,65,50
"South Twickenham","E36007557",85,50,35
"St Margarets and North Twickenham","E36007558",85,50,35
"Teddington","E36007559",80,35,45
"Twickenham Riverside","E36007560",90,50,40
"West Twickenham","E36007561",135,70,65
"Whitton","E36007562",120,70,55
"Beddington North","E36007584",130,60,70
"Beddington South","E36007585",265,110,155
"Belmont","E36007586",145,65,80
"Carshalton Central","E36007587",130,75,55
"Carshalton South and Clockhouse","E36007588",100,50,50
"Cheam","E36007589",80,35,40
"Nonsuch","E36007590",75,40,35
"St Helier","E36007591",300,140,160
"Stonecot","E36007592",110,55,55
"Sutton Central","E36007593",330,170,160
"Sutton North","E36007594",155,75,80
"Sutton South","E36007595",165,95,70
"Sutton West","E36007596",125,65,65
"The Wrythe","E36007597",170,80,95
"Wallington North","E36007598",215,115,100
"Wallington South","E36007599",200,105,95
"Wandle Valley","E36007600",375,190,190
"Worcester Park","E36007601",125,55,75
"Cann Hall","E36007619",325,170,155
"Cathall","E36007620",345,205,140
"Chapel End","E36007621",265,125,140
"Chingford Green","E36007622",140,75,65
"Endlebury","E36007623",170,80,90
"Forest","E36007624",280,150,130
"Grove Green","E36007625",240,135,105
"Hale End and Highams Park","E36007626",235,135,100
"Hatch Lane","E36007627",205,90,115
"High Street","E36007628",315,165,150
"Higham Hill","E36007629",365,190,175
"Hoe Street","E36007630",510,295,215
"Larkswood","E36007631",210,120,90
"Lea Bridge","E36007632",455,275,180
"Leyton","E36007633",390,215,175
"Leytonstone","E36007634",245,125,120
"Markhouse","E36007635",370,200,170
"Valley","E36007636",225,130,95
"William Morris","E36007637",280,135,145
"Wood Street","E36007638",340,170,170
"Ascot","E36000824",25,10,15
"Binfield with Warfield","E36000825",50,30,25
"Bullbrook","E36000826",85,45,40
"Central Sandhurst","E36000827",30,15,15
"College Town","E36000828",20,10,10
"Crown Wood","E36000829",80,40,35
"Crowthorne","E36000830",30,15,10
"Great Hollands North","E36000831",75,40,35
"Great Hollands South","E36000832",60,25,35
"Hanworth","E36000833",100,50,50
"Harmans Water","E36000834",105,50,55
"Little Sandhurst and Wellington","E36000835",20,10,10
"Old Bracknell","E36000836",120,65,55
"Owlsmoor","E36000837",40,20,20
"Priestwood and Garth","E36000838",120,65,55
"Warfield Harvest Ride","E36000839",35,15,20
"Wildridings and Central","E36000840",85,50,35
"Winkfield and Cranbourne","E36000841",20,10,10
"Brunswick and Adelaide","E36000973",235,150,90
"Central Hove","E36000974",210,130,80
"East Brighton","E36000975",530,310,220
"Goldsmid","E36000976",250,150,100
"Hangleton and Knoll","E36000977",315,185,135
"Hanover and Elm Grove","E36000978",295,170,125
"Hollingdean and Stanmer","E36000979",270,140,130
"Hove Park","E36000980",90,55,35
"Moulsecoomb and Bevendean","E36000981",385,225,160
"North Portslade","E36000982",185,110,80
"Patcham","E36000983",165,90,75
"Preston Park","E36000984",195,130,65
"Queen's Park","E36000985",495,335,160
"Regency","E36000986",285,200,85
"Rottingdean Coastal","E36000987",165,90,80
"South Portslade","E36000988",215,115,100
"St. Peter's and North Laine","E36000989",395,275,115
"Westbourne","E36000990",185,115,70
"Wish","E36000991",140,75,65
"Withdean","E36000992",140,80,60
"Woodingdean","E36000993",155,80,75
"Arreton and Newchurch","E36001024",25,15,10
"Binstead and Fishbourne","E36001025",15,10,10
"Brading, St Helens and Bembridge","E36001026",50,35,15
"Carisbrooke","E36001027",55,30,25
"Central Wight","E36001028",20,10,10
"Chale, Niton and Whitwell","E36001029",35,25,10
"Cowes Medina","E36001030",75,45,25
"Cowes North","E36001031",40,30,10
"Cowes South and Northwood","E36001032",20,10,10
"Cowes West and Gurnard","E36001033",20,10,10
"East Cowes","E36001034",55,35,20
"Freshwater North","E36001035",30,20,10
"Freshwater South","E36001036",30,20,10
"Godshill and Wroxall","E36001037",25,15,10
"Havenstreet, Ashey and Haylands","E36001038",45,20,25
"Lake North","E36001039",55,30,20
"Lake South","E36001040",40,25,15
"Nettlestone and Seaview","E36001041",10,5,5
"Newport Central","E36001042",75,45,30
"Newport East","E36001043",100,55,50
"Newport North","E36001044",65,45,20
"Newport South","E36001045",70,30,40
"Newport West","E36001046",35,20,15
"Parkhurst","E36001047",55,30,25
"Ryde East","E36001048",60,45,15
"Ryde North East","E36001049",150,100,50
"Ryde North West","E36001050",75,45,30
"Ryde South","E36001051",115,70,45
"Ryde West","E36001052",70,40,25
"Sandown North","E36001053",70,45,25
"Sandown South","E36001054",90,55,30
"Shanklin Central","E36001055",75,50,25
"Shanklin South","E36001056",65,40,25
"Totland","E36001057",30,15,15
"Ventnor East","E36001058",70,40,35
"Ventnor West","E36001059",35,20,10
"West Wight","E36001060",20,10,5
"Whippingham and Osborne","E36001061",60,35,30
"Wootton Bridge","E36001062",25,15,5
"Chatham Central","E36000802",535,305,230
"Cuxton and Halling","E36000803",50,30,20
"Gillingham North","E36000804",600,345,255
"Gillingham South","E36000805",575,345,230
"Hempstead and Wigmore","E36000806",35,15,15
"Lordswood and Capstone","E36000807",100,60,40
"Luton and Wayfield","E36000808",515,315,200
"Peninsula","E36000809",185,100,85
"Princes Park","E36000810",150,75,75
"Rainham Central","E36000811",95,55,40
"Rainham North","E36000812",105,50,55
"Rainham South","E36000813",110,55,60
"River","E36000814",430,285,145
"Rochester East","E36000815",260,130,135
"Rochester South and Horsted","E36000816",140,75,65
"Rochester West","E36000817",175,105,65
"Strood North","E36000818",235,120,110
"Strood Rural","E36000819",175,95,80
"Strood South","E36000820",310,155,155
"Twydall","E36000821",285,175,110
"Walderslade","E36000822",145,70,75
"Watling","E36000823",135,75,55
"Bletchley and Fenny Stratford","E36000950",295,165,130
"Bradwell","E36000951",240,150,90
"Campbell Park","E36000952",420,275,145
"Danesborough","E36000953",30,15,15
"Denbigh","E36000954",125,75,45
"Eaton Manor","E36000955",265,140,125
"Emerson Valley","E36000956",155,80,70
"Furzton","E36000957",135,70,65
"Hanslope Park","E36000958",60,30,30
"Linford North","E36000959",100,60,40
"Linford South","E36000960",120,65,55
"Loughton Park","E36000961",185,105,80
"Middleton","E36000962",215,120,95
"Newport Pagnell North","E36000963",55,35,20
"Newport Pagnell South","E36000964",70,40,30
"Olney","E36000965",45,20,25
"Sherington","E36000966",20,10,10
"Stantonbury","E36000967",150,75,75
"Stony Stratford","E36000968",170,100,70
"Walton Park","E36000969",160,85,75
"Whaddon","E36000970",90,45,45
"Wolverton","E36000971",330,170,155
"Woughton","E36000972",350,185,165
"Baffins","E36000994",230,140,85
"Central Southsea","E36000995",260,170,85
"Charles Dickens","E36000996",775,425,345
"Copnor","E36000997",125,70,55
"Cosham","E36000998",245,135,110
"Drayton and Farlington","E36000999",65,45,25
"Eastney and Craneswater","E36001000",205,140,65
"Fratton","E36001001",335,205,130
"Hilsea","E36001002",180,110,65
"Milton","E36001003",200,105,95
"Nelson","E36001004",365,215,150
"Paulsgrove","E36001005",295,155,140
"St Jude","E36001006",290,195,95
"St Thomas","E36001007",295,165,130
"Abbey","E36000872",345,215,130
"Battle","E36000873",300,185,120
"Caversham","E36000874",145,75,70
"Church","E36000875",180,110,70
"Katesgrove","E36000876",235,135,95
"Kentwood","E36000877",150,75,75
"Mapledurham","E36000878",5,5,0
"Minster","E36000879",310,185,125
"Norcot","E36000880",250,135,115
"Park","E36000881",155,85,65
"Peppard","E36000882",60,35,20
"Redlands","E36000883",145,80,60
"Southcote","E36000884",160,80,80
"Thames","E36000885",45,20,25
"Tilehurst","E36000886",120,55,60
"Whitley","E36000887",285,140,145
"Baylis and Stoke","E36000888",225,125,100
"Britwell","E36000889",210,120,90
"Central","E36000890",250,145,105
"Chalvey","E36000891",305,185,120
"Cippenham Green","E36000892",120,55,65
"Cippenham Meadows","E36000893",180,90,90
"Colnbrook with Poyle","E36000894",115,60,55
"Farnham","E36000895",195,105,90
"Foxborough","E36000896",150,80,70
"Haymill","E36000897",145,80,65
"Kedermister","E36000898",145,85,60
"Langley St Mary's","E36000899",100,55,50
"Upton","E36000900",225,130,95
"Wexham Lea","E36000901",185,95,95
"Bargate","E36001008",485,280,205
"Bassett","E36001009",130,75,55
"Bevois","E36001010",655,435,225
"Bitterne","E36001011",470,255,215
"Bitterne Park","E36001012",225,135,95
"Coxford","E36001013",250,145,110
"Freemantle","E36001014",385,235,150
"Harefield","E36001015",315,165,145
"Millbrook","E36001016",340,180,165
"Peartree","E36001017",255,150,105
"Portswood","E36001018",215,135,75
"Redbridge","E36001019",385,205,180
"Shirley","E36001020",265,140,125
"Sholing","E36001021",190,105,85
"Swaythling","E36001022",270,170,105
"Woolston","E36001023",385,230,155
"Aldermaston","E36000842",15,10,5
"Basildon","E36000843",10,5,5
"Birch Copse","E36000844",35,25,15
"Bucklebury","E36000845",45,25,20
"Burghfield","E36000846",45,25,20
"Calcot","E36000847",100,50,50
"Chieveley","E36000848",0,0,0
"Clay Hill","E36000849",75,45,30
"Cold Ash","E36000850",5,0,5
"Compton","E36000851",25,15,10
"Downlands","E36000852",10,5,5
"Falkland","E36000853",30,15,15
"Greenham","E36000854",90,45,45
"Hungerford","E36000855",50,30,20
"Kintbury","E36000856",40,25,20
"Lambourn Valley","E36000857",50,30,20
"Mortimer","E36000858",50,25,25
"Northcroft","E36000859",80,50,30
"Pangbourne","E36000860",20,10,10
"Purley on Thames","E36000861",35,15,15
"Speen","E36000862",50,20,30
"St Johns","E36000863",80,55,25
"Sulhamstead","E36000864",20,10,5
"Thatcham Central","E36000865",60,30,30
"Thatcham North","E36000866",55,25,30
"Thatcham South and Crookham","E36000867",55,25,25
"Thatcham West","E36000868",60,30,30
"Theale","E36000869",35,20,15
"Victoria","E36000870",110,55,55
"Westwood","E36000871",10,5,5
"Ascot and Cheapside","E36000902",20,10,10
"Belmont","E36000903",95,60,35
"Bisham and Cookham","E36000904",25,15,10
"Boyn Hill","E36000905",50,25,20
"Bray","E36000906",45,25,15
"Castle Without","E36000907",55,35,20
"Clewer East","E36000908",35,20,15
"Clewer North","E36000909",95,55,40
"Clewer South","E36000910",45,25,20
"Cox Green","E36000911",60,30,25
"Datchet","E36000912",45,25,20
"Eton and Castle","E36000913",15,5,10
"Eton Wick","E36000914",25,15,10
"Furze Platt","E36000915",75,40,35
"Horton and Wraysbury","E36000916",45,25,20
"Hurley and Walthams","E36000917",55,35,20
"Maidenhead Riverside","E36000918",65,30,35
"Old Windsor","E36000919",40,35,5
"Oldfield","E36000920",155,85,70
"Park","E36000921",25,15,10
"Pinkneys Green","E36000922",45,25,20
"Sunningdale","E36000923",20,10,15
"Sunninghill and South Ascot","E36000924",45,20,20
"Arborfield","E36000925",35,15,20
"Barkham","E36000926",25,10,10
"Bulmershe and Whitegates","E36000927",95,50,40
"Charvil","E36000928",20,10,5
"Coronation","E36000929",25,20,5
"Emmbrook","E36000930",50,25,25
"Evendons","E36000931",60,30,30
"Finchampstead North","E36000932",25,15,10
"Finchampstead South","E36000933",30,15,15
"Hawkedon","E36000934",50,30,20
"Hillside","E36000935",35,20,15
"Hurst","E36000936",10,5,5
"Loddon","E36000937",90,45,45
"Maiden Erlegh","E36000938",40,25,15
"Norreys","E36000939",80,40,40
"Remenham, Wargrave and Ruscombe","E36000940",45,30,10
"Shinfield North","E36000941",40,20,20
"Shinfield South","E36000942",65,30,35
"Sonning","E36000943",25,15,15
"South Lake","E36000944",25,15,10
"Swallowfield","E36000945",25,10,15
"Twyford","E36000946",25,15,10
"Wescott","E36000947",45,20,20
"Winnersh","E36000948",65,40,25
"Wokingham Without","E36000949",25,10,15
"Aston Clinton","E36001634",55,35,25
"Aylesbury Central","E36001635",60,40,25
"Bedgrove","E36001636",55,35,20
"Bierton","E36001637",10,10,5
"Brill","E36001638",15,10,5
"Buckingham North","E36001639",60,25,35
"Buckingham South","E36001640",45,25,25
"Cheddington","E36001641",15,5,10
"Coldharbour","E36001642",80,50,30
"Edlesborough","E36001643",5,5,5
"Elmhurst and Watermead","E36001644",140,70,70
"Gatehouse","E36001645",150,90,60
"Great Brickhill","E36001646",30,15,15
"Great Horwood","E36001647",15,10,5
"Grendon Underwood","E36001648",15,10,5
"Haddenham","E36001649",45,25,20
"Long Crendon","E36001650",15,10,5
"Luffield Abbey","E36001651",15,10,5
"Mandeville and Elm Farm","E36001652",80,35,40
"Marsh Gibbon","E36001653",15,10,5
"Newton Longville","E36001654",10,5,5
"Oakfield","E36001655",55,35,20
"Pitstone","E36001656",20,10,10
"Quainton","E36001657",15,5,10
"Quarrendon","E36001658",160,75,85
"Southcourt","E36001659",140,85,60
"Steeple Claydon","E36001660",5,5,0
"Stewkley","E36001661",15,5,10
"Tingewick","E36001662",20,10,5
"Waddesdon","E36001663",10,5,5
"Walton Court and Hawkslade","E36001664",90,55,35
"Weedon","E36001665",55,30,25
"Wendover","E36001666",45,20,25
"Wing","E36001667",20,15,5
"Wingrave","E36001668",5,5,5
"Winslow","E36001669",50,25,25
"Amersham Common","E36001670",10,5,0
"Amersham Town","E36001671",25,15,10
"Amersham-on-the-Hill","E36001672",45,25,15
"Asheridge Vale and Lowndes","E36001673",55,35,20
"Ashley Green, Latimer and Chenies","E36001674",10,5,5
"Austenwood","E36001675",0,0,0
"Ballinger, South Heath and Chartridge","E36001676",5,5,0
"Central","E36001677",25,10,15
"Chalfont Common","E36001678",15,10,5
"Chalfont St Giles","E36001679",20,15,10
"Chesham Bois and Weedon Hill","E36001680",15,5,10
"Cholesbury, The Lee and Bellingdon","E36001681",15,10,5
"Gold Hill","E36001682",15,5,10
"Great Missenden","E36001683",15,5,5
"Hilltop and Townsend","E36001684",30,20,10
"Holmer Green","E36001685",35,20,15
"Little Chalfont","E36001686",50,20,25
"Little Missenden","E36001687",10,5,5
"Newtown","E36001688",30,20,15
"Penn and Coleshill","E36001689",20,10,5
"Prestwood and Heath End","E36001690",45,30,15
"Ridgeway","E36001691",50,25,25
"Seer Green","E36001692",10,5,0
"St Mary's and Waterside","E36001693",85,40,45
"Vale","E36001694",35,20,15
"Beaconsfield North","E36001695",15,10,5
"Beaconsfield South","E36001696",30,20,10
"Beaconsfield West","E36001697",25,15,10
"Burnham Beeches","E36001698",5,0,0
"Burnham Church","E36001699",55,20,35
"Burnham Lent Rise","E36001700",55,30,25
"Denham North","E36001701",30,20,10
"Denham South","E36001702",30,15,15
"Dorney and Burnham South","E36001703",10,5,5
"Farnham Royal","E36001704",20,15,5
"Gerrards Cross East and Denham South West","E36001705",10,10,5
"Gerrards Cross North","E36001706",5,0,0
"Gerrards Cross South","E36001707",10,5,5
"Hedgerley and Fulmer","E36001708",5,5,0
"Iver Heath","E36001709",40,25,15
"Iver Village and Richings Park","E36001710",50,25,25
"Stoke Poges","E36001711",40,25,15
"Taplow","E36001712",15,5,5
"Wexham and Iver West","E36001713",40,25,15
"Abbey","E36001714",180,120,65
"Bledlow and Bradenham","E36001715",20,10,10
"Booker and Cressex","E36001716",120,80,40
"Bourne End-cum-Hedsor","E36001717",30,25,10
"Bowerdean","E36001718",115,65,50
"Chiltern Rise","E36001719",60,35,25
"Disraeli","E36001720",110,75,40
"Downley and Plomer Hill","E36001721",35,20,15
"Flackwell Heath and Little Marlow","E36001722",30,15,15
"Greater Hughenden","E36001723",10,5,5
"Greater Marlow","E36001724",20,10,10
"Hambleden Valley","E36001725",5,5,0
"Hazlemere North","E36001726",25,15,10
"Hazlemere South","E36001727",20,15,5
"Icknield","E36001728",10,5,5
"Lacey Green, Speen and the Hampdens","E36001729",5,0,5
"Marlow North and West","E36001730",50,25,25
"Marlow South East","E36001731",50,30,15
"Micklefield","E36001732",130,70,55
